,Open,High,Low,Close,Volume,ATR,MA20,MA60,High_20,RSI,Entry_Status,Score,Stop_Loss,Take_Profit,Fib_0.236,Fib_0.382,Fib_0.500,Fib_0.618,Fib_0.786
2345.TW,1610.0,1675.0,1580.0,1610.0,5683064.0,92.85714285714286,1450.0,1278.1666666666667,1620.0,65.17767605179468,,0.25961663841439564,1489.2857142857142,1675.0,1647.86,1631.07,1617.5,1603.93,1584.61
2308.TW,1450.0,1530.0,1410.0,1475.0,15622034.0,82.5,1367.5,1173.05,1490.0,63.55989998977237,,0.25740590767656957,1365.0,1530.0,1501.68,1484.16,1470.0,1455.84,1435.68
8021.TW,268.0,277.5,253.5,264.5,37182880.0,19.535714285714285,240.775,212.66289393107095,276.0,62.66154536601455,,0.24375247186154936,238.42857142857144,277.5,271.6,267.95,265.0,262.05,257.85
8996.TW,970.0,1005.0,909.0,911.0,5984713.0,66.42857142857143,864.75,733.5416666666666,980.0,57.439482997251865,,0.24191990911672834,872.1428571428571,1005.0,982.344,968.328,957.0,945.672,929.544
8039.TW,120.5,124.5,116.5,117.5,21899501.0,10.271428789411273,106.68499984741212,94.64666633605957,140.0,60.740243721109834,,0.24145946760338788,120.35714176722935,140.0,135.752,133.124,131.0,128.876,125.852
3665.TW,1760.0,1835.0,1720.0,1825.0,9937861.0,107.85714285714286,1581.0,1475.0833333333333,1785.0,65.0045401729075,,0.23721823625783856,1619.2857142857142,1835.0,1753.58,1703.21,1662.5,1621.79,1563.83
6531.TW,568.0,582.0,550.0,553.0,6793418.0,36.607142857142854,463.925,447.65,623.0,66.99130405475691,,0.2353401094605161,550.5,623.0,599.164,584.418,572.5,560.582,543.614
4979.TWO,408.0,417.5,395.5,404.5,27894117.0,36.892857142857146,394.525,328.35,504.0,56.626613402240224,,0.23191716156540276,442.07142857142856,504.0,479.338,464.081,451.75,439.419,421.863
4958.TW,216.0,218.0,203.5,209.5,31513253.0,12.928571428571429,190.35,170.14166666666668,219.5,63.618173304335315,,0.23132683548023691,193.85714285714286,219.5,204.868,195.816,188.5,181.184,170.768
1802.TW,62.099998474121094,62.5,56.099998474121094,57.599998474121094,94605250.0,5.150000163487026,58.37249965667725,46.94499975840251,73.5,52.40825275085197,,0.22696770200348082,62.82857131958008,73.5,69.46440036010742,66.96780058288574,64.95000076293945,62.93220094299316,60.05940119934082
6285.TW,177.5,183.0,170.5,173.5,28473793.0,11.285714285714286,172.375,144.056666692098,197.5,55.174985351137074,,0.2043871622465987,179.92857142857142,207.5,202.544,199.478,197.0,194.522,190.994
6290.TWO,243.5,246.0,218.5,224.0,22479462.0,18.321428571428573,217.625,188.25833333333333,243.0,56.5384657668593,,0.1898543667832322,212.78571428571428,246.0,235.262,228.619,223.25,217.881,210.237
6213.TW,153.0,153.5,141.0,143.5,18815400.0,10.535714285714286,134.575,121.03333333333333,159.5,57.892982018765274,,0.18562379509776927,138.92857142857142,159.5,155.13400000000001,152.433,150.25,148.067,144.959
1717.TW,64.5,68.9000015258789,63.29999923706055,66.69999694824219,101258586.0,4.6785706111363,62.734999656677246,56.53166669209798,72.19999694824219,59.06036804367071,,0.17986963504059483,64.68571090698242,72.19999694824219,70.71319802856445,69.79339869689942,69.04999923706055,68.30659977722168,67.24820054626466
6510.TWO,3560.0,3790.0,3475.0,3600.0,977392.0,281.7857142857143,3696.0,3062.25,4100.0,51.079220112041355,,0.1756061719324027,3766.4285714285716,4245.0,4135.26,4067.37,4012.5,3957.63,3879.51
3481.TW,27.799999237060547,28.0,26.100000381469727,26.25,500257806.0,2.471428598676409,26.955000019073488,22.389999850591025,33.29999923706055,50.43424893700819,,0.17239839996278894,28.135713304792134,33.29999923706055,32.13179950714111,31.409099674224855,30.824999809265137,30.24089994430542,29.409300136566163
6789.TW,350.0,365.5,343.5,348.0,7362256.0,24.071428571428573,336.725,297.25,383.5,57.08828765084868,,0.1707317073170731,342.0,383.5,370.52,362.49,356.0,349.51,340.27
6415.TW,285.0,300.5,282.5,286.0,9895539.0,19.571428571428573,268.625,245.88333333333333,297.0,57.07693764262006,,0.1631532569646852,397.64285714285717,459.0,425.606,404.947,388.25,371.553,347.781
8112.TW,93.5,97.9000015258789,86.0,88.30000305175781,45441972.0,6.54285648890904,78.91499977111816,76.76166636149088,95.69999694824219,59.779811142251035,,0.15031378599742573,84.81428854806083,97.9000015258789,95.09160116577148,93.35420094299316,91.95000076293945,90.54580058288575,88.54660032653808
3711.TW,348.0,352.0,340.5,344.0,22143305.0,19.821428571428573,351.0,302.075,394.0,52.94629716410883,,0.13879003558718872,357.0,394.0,390.342,388.079,386.25,384.421,381.817
2316.TW,110.5,118.5,110.5,113.0,21817198.0,7.278571537562779,98.94000053405762,99.32000020345052,116.0,62.078966493760184,,0.13773660661021836,111.15714154924665,123.0,120.522,118.989,117.75,116.511,114.747
6274.TWO,598.0,600.0,543.0,554.0,23607889.0,39.214285714285715,518.5,495.475,584.0,57.41579153155972,,0.11811897673949234,531.2857142857143,600.0,580.884,569.058,559.5,549.942,536.334
2329.TW,62.599998474121094,66.30000305175781,60.20000076293945,62.099998474121094,98432806.0,4.00714247567313,54.182499694824216,55.823333422342934,62.5,62.6192185794298,,0.11243801949788201,63.171426500592915,71.0999984741211,69.04679919433593,67.77659963989258,66.75,65.72340036010742,64.26180087280274
2449.TW,318.0,318.0,298.5,308.0,48069098.0,18.428571428571427,303.85,277.19166666666666,333.0,53.899822640398,,0.11114451492649491,301.57142857142856,333.0,328.28,325.36,323.0,320.64,317.28
3443.TW,2660.0,2735.0,2635.0,2645.0,3532574.0,151.42857142857142,2427.5,2397.3333333333335,2800.0,58.997110159922286,,0.10330923248053381,2505.714285714286,2830.0,2759.2,2715.4,2680.0,2644.6,2594.2
2603.TW,218.0,218.0,212.5,214.0,23655493.0,8.107142857142858,206.975,195.1,222.5,61.04933751304065,,0.09687339825730401,217.22457279533594,230.06085455417633,226.06560879405583,223.59397370516774,221.5963508251075,219.59872794504724,216.75465469208012
